Day,Cash On Hand
0,3500000
1,3487400
2,3278200
3,2245307
4,1891812
5,159012
6,229459
7,578652
8,504520
9,433800
10,508844
11,650905
12,2336360
13,2641206
14,2825485
15,2817086
16,1883574
17,1750702
18,1699736
19,1776894
20,1582179
21,2173336
22,2653073
23,2865144
24,2759719
25,2789465
26,2550901
27,2823707
28,2176577
29,2230189
30,2466046
31,2496715
32,2637191
33,2320966
34,1531594
35,1479834
36,2195827
37,3170355
38,3926287
39,4434713
40,3468073
41,3926841
42,3256250
43,3838422
44,3973025
45,4438492
46,3888327
47,3898294
48,4522786
49,4873468
50,4850049
51,4634254
52,4702001
53,4658321
54,5161657
55,6009680
56,6644701
57,6862733
58,7285425
59,7161250
60,7057674
61,7120387
62,7691719
63,7316972
64,7542929
65,7467323
66,7509085
67,7768011
68,7847960
69,7946171
70,8260585
71,8332664
72,8100118
73,8183368
74,8388990
75,9160482
76,8440505
77,8228657
78,9077908
79,10006247
80,10839708
81,10752059
82,11211099
83,12681433
84,12489114
85,11380960
86,11371691
87,11516502
88,11630131
89,12408792
90,11705955
