
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD209200
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD76262
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD258
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD30471
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD11866
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD62025
[PROFIT DEFICIT] DAY: 8, AMOUNT: USD45460
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD27648
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD32274
[PROFIT DEFICIT] DAY: 16, AMOUNT: USD27324
[PROFIT DEFICIT] DAY: 17, AMOUNT: USD138391
[PROFIT DEFICIT] DAY: 18, AMOUNT: USD5759
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD23336
[PROFIT DEFICIT] DAY: 25, AMOUNT: USD9682
[PROFIT DEFICIT] DAY: 26, AMOUNT: USD11999
[PROFIT DEFICIT] DAY: 35, AMOUNT: USD16908
[PROFIT DEFICIT] DAY: 40, AMOUNT: USD7832
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD26898
[PROFIT DEFICIT] DAY: 52, AMOUNT: USD6339
[PROFIT DEFICIT] DAY: 53, AMOUNT: USD10813
[PROFIT DEFICIT] DAY: 60, AMOUNT: USD12548
[PROFIT DEFICIT] DAY: 65, AMOUNT: USD20299
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD9279
[PROFIT DEFICIT] DAY: 87, AMOUNT: USD1281
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600
[CASH DEFICIT] DAY: 2, AMOUNT: USD209200
[CASH DEFICIT] DAY: 3, AMOUNT: USD1032893
[CASH DEFICIT] DAY: 4, AMOUNT: USD353495
[CASH DEFICIT] DAY: 5, AMOUNT: USD1732800
[CASH DEFICIT] DAY: 8, AMOUNT: USD74132
[CASH DEFICIT] DAY: 9, AMOUNT: USD70720
[CASH DEFICIT] DAY: 15, AMOUNT: USD8399
[CASH DEFICIT] DAY: 16, AMOUNT: USD933512
[CASH DEFICIT] DAY: 17, AMOUNT: USD132872
[CASH DEFICIT] DAY: 18, AMOUNT: USD50966
[CASH DEFICIT] DAY: 20, AMOUNT: USD194715
[CASH DEFICIT] DAY: 24, AMOUNT: USD105425
[CASH DEFICIT] DAY: 26, AMOUNT: USD238564
[CASH DEFICIT] DAY: 28, AMOUNT: USD647130
[CASH DEFICIT] DAY: 33, AMOUNT: USD316225
[CASH DEFICIT] DAY: 34, AMOUNT: USD789372
[CASH DEFICIT] DAY: 35, AMOUNT: USD51760
[CASH DEFICIT] DAY: 40, AMOUNT: USD966640
[CASH DEFICIT] DAY: 42, AMOUNT: USD670591
[CASH DEFICIT] DAY: 46, AMOUNT: USD550165
[CASH DEFICIT] DAY: 50, AMOUNT: USD23419
[CASH DEFICIT] DAY: 51, AMOUNT: USD215795
[CASH DEFICIT] DAY: 53, AMOUNT: USD43680
[CASH DEFICIT] DAY: 59, AMOUNT: USD124175
[CASH DEFICIT] DAY: 60, AMOUNT: USD103576
[CASH DEFICIT] DAY: 63, AMOUNT: USD374747
[CASH DEFICIT] DAY: 65, AMOUNT: USD75606
[CASH DEFICIT] DAY: 72, AMOUNT: USD232546
[CASH DEFICIT] DAY: 76, AMOUNT: USD719977
[CASH DEFICIT] DAY: 77, AMOUNT: USD211848
[CASH DEFICIT] DAY: 81, AMOUNT: USD87649
[CASH DEFICIT] DAY: 84, AMOUNT: USD192319
[CASH DEFICIT] DAY: 85, AMOUNT: USD1108154
[CASH DEFICIT] DAY: 86, AMOUNT: USD9269
[CASH DEFICIT] DAY: 90, AMOUNT: USD702837
